seqid	P28660_2001	P28660_2002	P28660_2003	P28660_2004	P28660_2005	P28660_2006	P28660_2007	P28660_2008	P28660_2009	P28660_2010	P28660_2011	P28660_2012	P28660_2013	P28660_2014	P28660_2015	P28660_2016	P28660_2017	P28660_2018	P28660_2019	P28660_2020	P28660_2021	P28660_2022	P28660_2023	P28660_2024	P28660_2028	P28660_2029	P28660_2030	P28660_2031	P28660_2032	P28660_2033	P28660_2034	P28660_2035	P28660_2036	P28660_2037	P28660_2038	P28660_2039	P28660_2040	P28660_2041	P28660_2042	P28660_2043	P28660_2044	P28660_2045	P28660_2046	P28660_2047	P28660_2048	P28660_2049	P28660_2050	P28660_2051	P28660_2052	P28660_2053	P28660_2054	P28660_2055	P28660_2056	P28660_2057	P28660_2058	P28660_2059	P28660_2060	P28660_2061	P28660_2062	P28660_2063	P28660_2064	P28660_2065	P28660_2066	P28660_2067	P28660_2068	P28660_2069	P28660_2070	P28660_2071	P28660_2075	P28660_2076	P28660_2077	P28660_2078	P28660_2079	P28660_2080	P28660_2081	P28660_2082	P28660_2083	P28660_2084	P28660_2085	P28660_2086	P28660_2087	P28660_2088	P28660_2089	P28660_2090	P28660_2091	P28660_2092	P28660_2093	P28660_2094
f9e34b8440a2008a02930da6bbe98325	122	341	138	16	132	480	1160	40	286	208	145	1563	120	1567	5338	2364	2529	1040	4568	16199	35033	0	0	0	55	0	3708	15	49	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5270df843af2feda3241487adb2c5a65	6512	463	5295	4277	502	9715	0	0	19	73	2698	340	5	42	326	9622	1225	31320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a66624b770b00882642a2087ac28cd99	34	5	0	0	0	4	0	0	0	5	9	0	770	0	0	0	0	0	0	229	97	153	6	97	4	146	0	0	0	1007	51685	73	394	270	80	66	949	166	387	99	141	80	129	148	182	136	125	113	59	102	100	151	173	97	152	163	149	118	185	172	158	124	155	109	90	107	122	124	194	126	169	169	83	219	190	163	141	208	138	168	69	184	184	191	174	184	140	189
0aa6767415c3c1d08d147c80b16ec596	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	27	1781	3387	3235	13130	17592	20126	0	395	0	4352	93	0	0	64	0	0	0	21	0	0	0	134	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2d1ac4ea6a5928bfd246c20b08ec9c02	0	0	0	8	0	0	0	39	8	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	49818	12602	13	0	0	0	0	0	0	0	0	0	0	0	0	120	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4c94128c33f4cb92460ec0651a6a883f	5269	5881	730	1949	2412	3450	1321	11233	4519	177	893	214	1055	1647	667	9243	472	8716	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c65e13082d20fdfb45b6e46d9d914d5c	117	104	19	12	324	78	741	20	0	231	149	1144	0	239	5886	54	381	17	10024	18337	6722	0	3	0	0	0	0	1609	9115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
befc7c5f58515809eaaf93d4579f8da5	1061	1818	2986	1511	3019	6263	0	0	0	11150	13942	4894	387	176	0	741	2773	4378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aee6f37f7e3b9e371c67169407603285	2473	893	3889	4549	15953	15650	0	0	13	950	1783	2051	70	57	8	21	0	520	0	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14bb6ce45646032f2be88888fc9d5cc6	7781	1691	7807	1377	1739	6484	122	0	35	1599	1103	284	2176	610	497	1340	5315	4180	471	112	0	0	0	0	3379	698	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
