ASV_ID	P28659_1001	P28659_1002	P28659_1003	P28659_1004	P28659_1005	P28659_1006	P28659_1007	P28659_1008	P28659_1009	P28659_1010	P28659_1011	P28659_1012	P28659_1013	P28659_1014	P28659_1015	P28659_1016	P28659_1017	P28659_1018	P28659_1019	P28659_1020	P28659_1021	P28659_1022	P28659_1023	P28659_1024	P28659_1025	P28659_1026	P28659_1027	P28659_1028	P28659_1029	P28659_1030	P28659_1031	P28659_1032	P28659_1033	P28659_1034	P28659_1035	P28659_1036	P28659_1037	P28659_1038	P28659_1039	P28659_1040	P28659_1041	P28659_1042	P28659_1043	P28659_1044	P28659_1045	P28659_1046	P28659_1047	P28659_1048	P28659_1049	P28659_1050	P28659_1051	P28659_1052	P28659_1053	P28659_1054	P28659_1055	P28659_1056	P28659_1057	P28659_1058	P28659_1059	P28659_1060
0dea918460deb64e911654a51b4b0a6d	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6829	554	792	1812	3531	745	735	3379	2727	0	0	0	0	2894	4572	489	6756	1336	6160	2665	494	8818	763	105	3712	0	0	0
3cf86a2c030c671bc22392a8ed0a61c1	0	0	0	0	0	194	0	0	19	0	0	0	0	7	12	0	0	0	0	0	34	0	0	0	6	0	0	0	0	0	0	0	6515	535	820	1695	3303	782	736	3188	2702	40	61	0	0	3022	4617	502	6462	1276	6009	2569	504	8535	726	128	3499	0	0	0
d31545c1bc4d04649bc82955f3a54738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	13147	0	0	82	10287	9019	0	11175	88	0	0	7328	0	18	0	18	30	0	22	3682	0	0	0	0	2933	0	0	161	0	0
396fc5bdd5f023b0489d50aa20ab5f7c	0	32	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	19	0	0	0	0	0	0	109	57188	113	38	97	61	92	54	19	28	7	0	0	0	0	0	0	21	0	0	0	0	0	0	0	44	26	0	0	0	0	0	0	28	0	0
5d0820c2a63426606b762c638adc7640	0	0	0	0	9	10	65	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	16	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	83	120	142	27
804503018b9884442786c996ee610b0b	0	0	38	0	0	0	0	0	3	0	0	0	0	0	0	0	46	59	58	11	39	19668	133	36	11439	1595	8709	18	45	64	41	37	7	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	8	0	0	56	45	15070	17
a972bd1add8690a48837c9d5edcbea3c	1641	217	2291	3262	4768	1443	5258	6126	4317	7269	5546	0	1299	1133	3258	72	0	0	2339	0	435	73	515	0	0	1987	963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0
907c7971709c8bbb1fd3bda8fddfe051	40	54	70	11211	616	44	4012	40	65	7270	20772	99	61	75	100	59	0	3	540	0	0	0	4	0	17	6942	987	12	14	11	26	17	0	0	10	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
1856ab3ec43665f0f19fa6074671ed0f	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6452	0	0	3691	0	0	0	4073	0	0	0	0	63	1587	2639	6493	0	18002	539	90	0	0	5000	904	0	0	0
c644dd2fe8dd44028035444047c3d983	0	0	0	0	0	0	14	21	0	0	0	0	9	0	0	7	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	78	88	32
db2e1995630966065254e893d3cb4f2f	0	0	0	0	8	16	0	12	0	0	0	0	20	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	40	63	78	14
662dd8ddc9333c681679c2c09c524b15	0	0	0	0	12	7	0	11	0	0	0	0	0	0	0	0	0	25	0	3	12	0	0	0	0	0	0	0	18	0	0	8	12	198	28	0	40	29	145	5135	2678	40	40	22	35	5135	964	1109	87	2409	83	1415	21949	118	2340	2945	1716	14	0	7
d1fbe52105fac37673e2ebb978655b93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	12	0	16	25	0	0	9	20	3359	128	63	79	28	6949	547	3733	33501	0	22	0	0	0	0	0	19	0	0	0	0	19	0	0	199	0	0	0	0
b87dca9772642393b00e9a67390cd2d9	0	0	0	0	7	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	71	102	98	33
81452687f7b958dc18f32fa96ff6c945	0	0	0	0	0	158	0	0	10	0	0	0	0	0	4	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	5064	369	635	1382	2486	603	630	2617	2286	0	0	0	0	2479	3782	480	4780	1049	4576	1907	414	6458	534	0	2748	0	0	0
8af546e0c8353881b20ef614f816d93d	0	0	0	0	0	0	56	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	24	0	68	79	88	29
ee01aedaabc8dfecae7301982e34b5fb	0	9	33	15	21	69	421	40	0	405	62	0	577	12	21	0	0	18	558	0	22	280	786	0	51	275	12587	21	48	42	402	250	1131	256	1107	120	989	73	783	696	306	69	37	0	0	2911	382	215	678	1119	895	558	9672	1594	1425	407	498	0	43	0
08602d8bf0c7f3bb66f3e0101b6ad3b4	3617	18071	15385	85	1408	528	187	252	300	476	139	0	58	350	445	0	4	127	35	0	86	65	89	0	11	175	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	6	21	0
3e054b7078002f1afab1c1e22ee932e4	0	0	0	0	0	0	0	0	24	27	20	16	3149	4838	1243	0	0	21	185	0	161	3020	351	0	204	954	0	0	13	14	0	0	0	0	0	0	7	6	0	0	12	8	13	0	0	1762	629	337	18	32	45	1719	17485	52	38	29	691	15	4111	8
7302e4028724d31594a272a6a6aa1984	0	0	0	0	0	0	27	0	0	0	0	0	0	0	25	0	140	221	169	61	133	152	33879	180	21	13	5646	10	16	16	39	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	32	0	0	0	0	0
a956cbca8d38ffe590931163481da312	0	0	0	0	0	0	58	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	24	0	45	86	98	26
0b538986430315945fdd608780461d5c	0	0	0	0	13	0	0	0	0	606	0	0	10	55	0	3	0	0	0	0	11	109	0	0	14	23	0	0	0	0	0	0	0	0	0	4	12	0	0	0	11	0	2	0	5	520	0	13	62	66	75	1955	33779	79	48	1093	635	0	0	0
876ac6aaf7434d416cb6983a35dc5cbe	0	0	0	0	0	954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1040	2041	1812	1327	2502	239	5458	145	4097	2686	2256	290	0	0	0	215	499	1610	829	203	357	1906	0	2268	204	3948	1389	0	0	0
dd2f8985c3a81fd9f06eb61d55983405	0	0	0	0	0	992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	2013	1857	1333	2506	219	5424	123	3900	2667	2303	307	0	0	0	191	456	1549	818	199	381	1880	65	2152	194	3647	1431	0	0	0
9dfffe9076644ea542abbec2236098fd	0	0	0	0	0	894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	949	1890	1752	1268	2357	203	5093	110	3657	2456	2178	313	0	0	0	165	401	1534	738	197	341	1737	53	1994	196	3585	1189	0	0	0
9c8cba1b66c48675b388cbca1a0b704c	3	5	9	0	0	0	0	0	53	801	65	10	11815	2477	1858	37	8	13	635	0	1259	898	122	16	573	4775	6524	21	36	43	39	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	18	2502	0
20df62870cc42699b678cfe1f9b784f5	0	0	0	0	12	9	0	13	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	25	18	29	5
3c1a1a195201bf953b0ba92b0e0abb6b	0	0	0	0	0	0	0	0	45	482	103	14	10888	8778	36	32	9	0	1963	0	23	696	0	0	39	2523	4905	9	33	33	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	2620	0
c0139cd8626a804f094d7373e86746df	5	0	14	0	0	9	0	0	0	0	16	0	0	0	0	0	26	28	51	8	35	11085	59	15	5112	78	15666	22	80	57	37	50	10	0	27	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1330c15ba33df33413a894dd03101efa	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	16	0	12	15	512	2088	8883	1250	446	230	1844	337	1789	1079	3368	238	25	0	20	23	40	13	1042	187	5201	24	214	712	105	2340	100	0	0	0
2c3e50ad95f2d31065c14dea335b85c6	0	0	0	0	8	8	0	4	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	32	55	9
18beb714f9f979cd547331c17d6528f3	0	0	0	0	8	11	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	41	51	15
ced2cf91cca1d52e7d622c7ae381ff57	0	0	44	0	0	0	0	0	0	0	5	0	0	41	0	0	23	26	45	8	21	9698	22	23	1896	0	642	0	0	0	0	5	0	0	0	0	0	13	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	0	0	46	53	16658	19
11d6b502efabef2ca5dfb468cd68203d	0	0	0	0	0	737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767	1495	1402	1069	1957	137	4297	105	3038	1950	1855	265	0	0	0	138	352	1222	552	153	337	1357	0	1448	134	2868	1028	0	0	0
737aa56ba113a3fd4b6b8b227ef8bc0e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	161	277	0	0	0	0	870	858	759	540	6361	1859	1424	8228	265	4114	598	745	12	0	0
392ec018ad7e3c9a0a78514fa3209257	0	0	0	0	17	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	77	0
758386c3d83b0c7688df71635c223990	0	0	0	0	8	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	30	28	10
45226a91a8ca724e92b42b8620f1e113	0	0	22	0	0	0	0	0	0	0	10	0	0	30	0	0	32	35	39	15	25	6031	3974	17	1292	15	4566	5	0	19	12	7	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	28	28	10407	16
79b5b618f251890b712f5a76461d409f	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	61	75	20
c42b205c32e31b8984e045b0838cd528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	11	9	10	3	7	6	235	1963	3640	719	170	95	536	86	1330	1067	3932	31	8	5	9	17	34	12	301	46	4053	26	132	605	29	4716	93	0	0	0
98d946b24ffc9f686be56fde53e40b61	555	238	1544	57	160	0	0	64	315	68	131	0	1534	3574	464	0	0	0	223	0	651	1781	82	0	1251	680	4016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5683	0
8663241f2f3999cc9c336a2a22e26ded	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	13	0	1388	1350	0	30	0	15	2395	1610	801	492	476	1448	1194	3428	4972	272	2019	308	0	0	0
6e1b4237676859bb6ff04977a6426e08	537	239	1465	48	183	0	51	68	335	62	112	0	1446	3440	438	0	0	0	209	0	675	1643	77	0	1151	627	3967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5444	0
60fd3ebe3ed2f3fe7a8bfa07adf6b841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	1093	14	11	5	16	1176	1775	1089	28	474	34	814	12332	29	642	643	1616	0	0	0
786fc21e623b7d265de8fa98ab1c3d9f	0	0	0	0	0	15	0	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	17
73cac7adf101ac441f30205005fb24df	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4682	241	0	297	389	0	0	0	0	0	0	253	0	7332	3078	0	0	0	0	412	0	4146	0	0	0
3e23256e19cab2581fbbfa4b4fa392de	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	0	0	123	0	0	3130	1601	0	0	0	0	0	132	0	93	0	451	97	93	278	0	13379	65	0	0	0
5a926307cdb83ef0ab17bcef352c03eb	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1388	4870	4571	0	0	0	978	0	0	0	146	7540	0	0	0
41ae7e08f17de260576e380c2f703a0f	0	0	0	0	5	0	0	6	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	30	35	26	7
42997c1743f8b32daab0b9720a8e12f9	0	0	0	0	12	0	12	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	33	32	7
bd5a28baa74871d1d50eedac051d691f	527	179	1223	0	160	0	0	62	282	0	0	0	1265	3113	387	0	0	0	206	0	567	1388	59	0	1116	567	3519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4882	0
3f05e48eec0753259e5094b1776506a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2559	0	0	16199	0	0	0	0	0	0	0	0	0
159f434d223e17e6d4a84d7a526cb194	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	34	0	20	1618	2638	0	0	45	34	0	13096	58	61	39	861	0	0	0
834294e642c239fa3b27bde652af714d	0	0	19	0	0	1562	10	7	40	46	8597	13	4466	55	67	44	0	0	14	0	12	3140	0	17	0	0	11	0	0	0	0	0	0	337	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	12	0	0	0	52	0	0	0
210ddc6ca33dd0a1c99b3866a3075545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	24	25	0
20523c83822759c7522b17ac9f022df4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	98	0	577	0	178	0	15520	0	0	57	0	0	0	39	0	60	0	0	0	1075	0	0	436	0	0
02c89da4d301e19c23291c16686d10be	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17815	0	0	0	0	0	0	0	0	0
8b61eca19f5af6fcf88f69fbb1b7de3a	268	0	765	1813	1201	347	778	1708	1424	3569	628	0	499	490	2215	0	0	0	474	0	244	0	309	0	0	570	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3bd2f55934c9ce2910e98eac2406907a	0	0	0	0	0	0	0	0	9	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21726fef0f31d107a9b52f43aa110911	442	194	1177	0	162	0	0	0	225	0	127	0	1053	2638	320	0	0	0	174	0	578	1378	73	0	899	502	3065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4616	0
e7b1114a556fc84efb66fb79f5613a8a	0	0	0	0	0	0	0	0	22	24	26	0	30	10561	19	11	9	20	22	0	6392	11	8	0	0	375	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fba964fa77137f407924dcd8715d5c86	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	759	375	699	898	0	1110	1065	683	0	0	0	38	886	730	386	1071	571	1697	442	495	1569	1108	1307	1109	0	0	0
c165f2659b4e75cea0b2c361db151408	1889	3573	5960	131	1015	427	255	489	389	377	210	0	206	175	197	0	0	53	89	0	97	0	100	0	0	630	831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0
48fc71266517f94c5dd4b39a8feb0fcd	0	57	36	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	31	804	295	432	348	256	528	399	424	341	368	0	0	0	178	1148	129	104	82	274	880	8660	85	65	139	442	31	0	0
c528c35b15a43e943fd2ea39eaea572b	4821	1179	5826	133	192	128	140	90	155	88	84	0	22	24	45	0	0	0	48	0	13	0	6	0	0	158	43	0	0	0	280	145	384	138	207	94	239	220	192	220	439	93	5	0	0	0	38	12	53	35	320	79	0	47	0	200	61	0	0	0
