seqid	P29902_1001	P29902_1002	P29902_1003	P29902_1004	P29902_1005	P29902_1006	P29902_1007	P29902_1008	P29902_1009	P29902_1010	P29902_1011	P29902_1012	P29902_1013	P29902_1014	P29902_1015	P29902_1016	P29902_1017	P29902_1018	P29902_1019	P29902_1020	P29902_1021	P29902_1022	P29902_1023	P29902_1024	P29902_1028	P29902_1029	P29902_1030	P29902_1031	P29902_1032	P29902_1033	P29902_1034	P29902_1035	P29902_1036	P29902_1037	P29902_1038	P29902_1039	P29902_1040	P29902_1041	P29902_1042	P29902_1043	P29902_1044	P29902_1045	P29902_1046	P29902_1047	P29902_1048	P29902_1049	P29902_1050	P29902_1051	P29902_1052	P29902_1053	P29902_1054	P29902_1055	P29902_1056	P29902_1057	P29902_1058	P29902_1059	P29902_1060	P29902_1061	P29902_1062	P29902_1063	P29902_1064	P29902_1066	P29902_1067	P29902_1068	P29902_1070	P29902_1075	P29902_1076	P29902_1077	P29902_1078	P29902_1079	P29902_1080	P29902_1087	P29902_1088	P29902_1089	P29902_1090	P29902_1092	P29902_1093
e54a9da8cd188ede5bd3d3c960d08713	0	15	0	40	0	0	0	0	0	20	12	53	49	240	576	14	343	0	2587	819	676	0	0	0	6974	8481	18249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d02e3483f856da80e38ce66a106cec70	306	889	3025	256	247	177	140	190	51	206	821	279	103	179	452	201	1455	3807	15654	1612	6626	9	6	0	263	177	902	799	206	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cc7762d7f1b2fbb41fa7cac7a6bf6e16	0	49	138	135	38	49	204	278	677	32	26	27	1142	780	2047	25	223	80	18793	9908	1791	0	7	0	77	1296	31	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14bb6ce45646032f2be88888fc9d5cc6	2253	1969	8284	430	480	1586	601	0	230	112	780	466	5080	628	398	333	5142	3896	926	0	670	0	0	0	2476	469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
befc7c5f58515809eaaf93d4579f8da5	835	1483	1989	831	1166	2199	0	0	0	2557	10270	2564	107	204	0	240	2518	4186	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
08cc58229560d52139d318678844fa1d	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	87	0	23	0	0	0	2135	28577	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4c94128c33f4cb92460ec0651a6a883f	4009	2717	560	295	495	627	2027	9694	791	101	1734	28	532	237	12	570	308	3339	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eace1e78c0bff65807841c555934e39b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1806	25143	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d4228b70590d745925b564e48ddd94cc	1564	317	510	280	63	353	4936	2720	35	500	7677	137	9	267	78	210	624	2573	0	0	0	0	0	0	210	76	0	2029	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02e34a7d10c23c934bd917f87bc435bc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22490	39	0	1097	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
