Genus	P28660_2001	P28660_2002	P28660_2003	P28660_2004	P28660_2005	P28660_2006	P28660_2007	P28660_2008	P28660_2009	P28660_2010	P28660_2011	P28660_2012	P28660_2013	P28660_2014	P28660_2015	P28660_2016	P28660_2017	P28660_2018	P28660_2019	P28660_2020	P28660_2021	P28660_2022	P28660_2023	P28660_2024	P28660_2025	P28660_2026	P28660_2027	P28660_2028	P28660_2029	P28660_2030	P28660_2031	P28660_2032	P28660_2033	P28660_2034	P28660_2035	P28660_2036	P28660_2037	P28660_2038	P28660_2039	P28660_2040	P28660_2041	P28660_2042	P28660_2043	P28660_2044	P28660_2045	P28660_2046	P28660_2047	P28660_2048	P28660_2049	P28660_2050	P28660_2051	P28660_2053	P28660_2054	P28660_2055	P28660_2056	P28660_2057	P28660_2058	P28660_2059	P28660_2060	P28660_2061	P28660_2062	P28660_2063	P28660_2064	P28660_2066	P28660_2067	P28660_2068	P28660_2069	P28660_2070	P28660_2071	P28660_2072	P28660_2073	P28660_2074	P28660_2075	P28660_2076	P28660_2077	P28660_2078	P28660_2080	P28660_2081	P28660_2082	P28660_2083	P28660_2084	P28660_2085	P28660_2086	P28660_2088	P28660_2089	P28660_2090	P28660_2091	P28660_2092	P28660_2093	P28660_2094
16-39-46	0	0	0	0	0	0	5.78806767586821e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.84419193617069e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-01-FULL-37-20	0	0	0	0	0	5.231413096996553e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-01-FULL-41-14	0	0	0	0	2.6900087694285884e-5	0	3.116651825467498e-4	0	0	1.1685587580557519e-5	0	0	0	0	3.448949794787487e-5	0	4.2893500204935615e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-01-FULL-49-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014921021489701066	0	0	0	0	0	0	0	0	0	0	0.002551020408163265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-01-FULL-51-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2730039803324745e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-02-FULL-38-14-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001350275837205031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-02-FULL-42-43	7.010012755332488e-4	0.0014658574981177707	8.464896177538449e-4	2.8117627695177483e-4	8.285227009840052e-4	0.0011509108813392418	1.0176822287240809e-4	0	4.529149606869814e-5	0.001875536806679482	0.001421711566639103	0.0018554568682321452	0.006724395980329271	0.0018369938136531864	0.0010921674350160377	4.295478377319874e-4	0.0010342099493856698	2.964357954941759e-4	0	0	0	0	0	0	0	0.0011426736675102934	0.001793658154764972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-02-FULL-49-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.814818904322691e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.498153238027739e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-02-FULL-50-9b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.860774454728957e-5	0	2.621824724462608e-4	5.005099535375666e-4	1.2759264575619498e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-02-FULL-55-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.522366872825181e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-12-FULL-35-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0034194368878070966	0	0.0012027620923472215	0	7.385651225502825e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9386851976697954e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-12-FULL-44-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.368903337740982e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011-GWC2-44-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.122967779246994e-4	0	0	0	2.012037875386152e-4	3.104071766139233e-5	0	0	7.791509940891994e-4	0	0	0	0	0	0	0	4.3129980361203115e-4	0	0	0	0	0	0	9.60433567153172e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21-14-0-10-47-8	0	0	0	0	0	0	0	3.8080255699553023e-4	0	0	0	0	0	0	0	0	0	8.428076538559903e-5	0	0	0	7.689293939737905e-4	3.144309781891583e-4	2.773451667271137e-4	3.1461896693551296e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.414770822504698e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21-64-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.403546480386889e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28-YEA-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.940089155957611e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-1-20CM-4-69-9	4.5528948823293476e-4	3.992607971527001e-5	0.0011881450658834088	1.6459099138640477e-4	1.0222033323828636e-4	0.001434022648941408	0	0	0	0	3.39469904687296e-4	6.691811655919212e-5	0	1.3507307453332253e-4	0	5.558854370649249e-4	1.3821238954923697e-4	9.881193183139197e-5	0	0	0	2.5264822944853115e-4	0	1.462919560758402e-4	0	0	1.0305559849538827e-4	5.432125590743658e-5	1.2400562985559544e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34-128	3.0713973412539253e-4	0	0	0	0	3.1696208764155586e-4	0	0	0	0	0	0	0.001097569667165562	0	0	0	7.148916700822602e-5	0	0	0.0053013745399605895	2.3931970771780045e-4	0.007224274734810898	1.9932678081634143e-4	0.0196976023357949	3.27728090557826e-5	0.00820647452121029	9.814818904322692e-6	0	1.2400562985559545e-5	0	0	0	0.04957191780821918	0.003425693357705509	0.01301283072697336	0.019090927642901358	0.006429516173805131	0.0013876432064711555	0	1.8761091341910126e-4	0.0027168432758849187	0.009785387546404678	0.00279208616249122	0.04672897196261682	0.0011482521051288594	0.001131939561287667	0.03592814371257485	0.04736842105263158	0.012648221343873518	0.034482758620689655	0.019538188277087035	0.008348794063079777	0.030716723549488054	0.04040404040404041	0.0364963503649635	0.00898325847284606	0.029336734693877552	0.020161290322580645	0.057750759878419454	0.004636068613815485	0.022727272727272728	0.033663366336633666	0.050119331742243436	0.03594771241830065	0.02834008097165992	0.046610169491525424	0.04435483870967742	0	0.0664451827242525	0.059322033898305086	0.0437636761487965	0.03977272727272727	0.03636363636363636	0.05555555555555555	0.047619047619047616	0.04929577464788732	0.015384615384615385	0.043121149897330596	0.060897435897435896	0.020618556701030927	0.037037037037037035	0.027989821882951654	0.0437636761487965	0.05555555555555555	0.04218362282878412	0.0436046511627907	0.03723404255319149	0.032663316582914576	0.05263157894736842	0.03870967741935484
39-52-133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4083721418013904e-4	0	7.974540359762187e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40CM-4-68-19	4.841967573270894e-4	6.160023727498803e-4	6.374168808387386e-4	2.4002852910517361e-4	2.044406664765727e-4	5.016001969473166e-4	0	0	0	1.6359822612780527e-4	7.079543311427369e-4	6.265969095997079e-4	0	1.7829645838398573e-4	6.897899589574974e-5	1.6423887913281872e-4	4.0987122418049586e-4	7.643393550487085e-4	0	0	0	4.760039105552036e-5	4.323425950100927e-4	2.0115143960428025e-4	7.537746082829997e-4	0.0015015298606126997	3.606945947338589e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.043783657223133e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41T-STBD-0c-01a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.480191154822606e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
