sample,N_to_S_Site_names,order,sample_Identity,site,replicate,zone,OX,TR,RZ,regions,pH,Temp,Zone_depth_START_cm,Zone_size_cm,LOI,Ti_AR,S_AR,Fe3_mgKg,Fe2_mgKg
P25811_2053,N14,138,LNUASS-18A-OX,18,A,OX,1,0,0,A4,3.31,8,85,20,8.2,2170,4780,7956.846684,1124.238324
P25811_2054,N14,139,LNUASS-18A-TR,18,A,TR,0,1,0,A4,6.2,8.5,105,30,5.5,2330,11300,1254.197116,2854.039107
P25811_2055,N14,140,LNUASS-18A-RZ,18,A,RZ,0,0,1,A4,7.53,9,135,70,4.9,2300,6840,934.2249726,3657.051602
P25811_2056,N14,141,LNUASS-18B-OX,18,B,OX,1,0,0,A4,3.65,8,75,30,9.5,2010,4400,7444.213032,1084.994545
P25811_2057,N14,142,LNUASS-18B-TR,18,B,TR,0,1,0,A4,5.1,8.5,105,40,5.9,2260,10200,2970.769537,2716.245775
P25811_2058,N14,143,LNUASS-18B-RZ,18,B,RZ,0,0,1,A4,7.43,9,145,60,5,2350,9090,1410.448507,3624.013585
P25811_2059,N14,144,LNUASS-18C-OX,18,C,OX,1,0,0,A4,3.75,8,85,30,7.7,2000,3140,9751.7064,1050.549016
P25811_2060,N14,145,LNUASS-18C-TR,18,C,TR,0,1,0,A4,5.2,8.5,115,30,5.1,2420,8630,5687.691851,2946.826418
P25811_2061,N14,146,LNUASS-18C-RZ,18,C,RZ,0,0,1,A4,7.53,9,145,60,4.4,2210,7830,1002.296097,4548.267944
P25811_2062,N20,147,LNUASS-19A-OX,19,A,OX,1,0,0,A5,2.74,8,55,80,8,1090,3560,16938.44184,396.3360583
P25811_2063,N20,148,LNUASS-19A-TR,19,A,TR,0,1,0,A5,4.4,8.5,135,40,7.8,1570,713,3727.505938,453.0166271
P25811_2065,N20,149,LNUASS-19B-OX,19,B,OX,0,0,0,A5,3.2,8,65,70,42.6,1110,9300,7801.6329,1068.440681
P25811_2066,N20,150,LNUASS-19B-TR,19,B,TR,0,1,0,A5,4.6,8.5,135,30,3.1,1370,3710,1027.079304,675.0483559
P25811_2068,N20,151,LNUASS-19C-OX,19,C,OX,1,0,0,A5,3.29,8,45,60,19.3,855,16600,9756.559629,1989.201478
P25811_2069,N20,152,LNUASS-19C-TR,19,C,TR,0,1,0,A5,5.2,8.5,105,50,21.4,1100,14900,1346.774983,2450.817265
P25811_2071,N19,153,LNUASS-20A-OX,20,A,OX,1,0,0,A4,3.57,8,15,60,20.7,820,18800,25633.52827,2046.783626
P25811_2072,N19,154,LNUASS-20A-TR,20,A,TR,0,1,0,A4,5.1,9,75,50,26.1,744,54200,1890.329013,3294.117647
P25811_2073,N19,155,LNUASS-20A-RZ,20,A,RZ,0,0,1,A4,7.41,10,125,80,32.4,649,65000,570.3125,2632.8125
P25811_2074,N19,156,LNUASS-20B-OX,20,B,OX,1,0,0,A4,3.63,8,25,60,24.3,840,14300,23848.81765,1875.927575
P25811_2075,N19,157,LNUASS-20B-TR,20,B,TR,0,1,0,A4,5.5,9,85,30,26.4,715,58400,941.9152276,2708.006279
P25811_2076,N19,158,LNUASS-20B-RZ,20,B,RZ,0,0,1,A4,7.22,10,115,90,33.4,635,75100,269.4241533,2766.340954
P25811_2077,N19,159,LNUASS-20C-OX,20,C,OX,1,0,0,A4,3.71,8,45,40,24,787,20500,23534.08865,2703.239913
P25811_2078,N19,160,LNUASS-20C-TR,20,C,TR,0,1,0,A4,5.3,9,85,40,27.1,722,49500,6349.016082,3240.435521
P25811_2079,N19,161,LNUASS-20C-RZ,20,C,RZ,0,0,1,A4,7.25,10,125,80,30.4,641,68600,192.9454326,3063.008743
