sample,sample_Identity,project,ParentSediment
P30102_1067,coprecipation_parent_sed_0.1,coprecip,ParentSediment
P30102_1068,coprecipation_parent_sed_0.2,coprecip,ParentSediment
P30102_1069,coprecipation_parent_sed_0.3,coprecip,ParentSediment
P30102_1070,cosorption_parent_sed_0.1,cosorp,ParentSediment
P30102_1071,cosorption_parent_sed_0.2,cosorp,ParentSediment
P30102_1072,cosorption_parent_sed_0.3,cosorp,ParentSediment
